name,definition,pii,sdpModelId
AccountNumber,Unique identifier for the deposit account assigned by the core banking system.,True,SDPEDM01
AccountHolderName,Full legal name of the primary account holder as registered in the bank's records.,True,SDPEDM01
AccountHolderID,Unique internal customer identifier linking the account to the customer profile.,False,SDPEDM01
AccountCurrency,The ISO 4217 currency code representing the denomination of the deposit account.,False,SDPEDM01
CurrentBalance,"The total amount of funds currently present in the account, including uncleared funds.",False,SDPEDM01
AvailableBalance,The amount of funds in the account that is immediately available for withdrawal or transfer.,False,SDPEDM01
OpenDate,The date on which the deposit account was formally opened and activated.,False,SDPEDM01
Status,"Current operational status of the account (e.g., Active, Dormant, Closed, Frozen).",False,SDPEDM01
ProductCode,"Internal code identifying the specific deposit product type (e.g., SavPlus, CheckStd).",False,SDPEDM01
InterestRate,The annual percentage rate (APR) currently applied to the account balance for interest calculation.,False,SDPEDM01
InterestAccruedYTD,Total interest earned by the account holder during the current calendar year.,False,SDPEDM01
OverdraftLimit,The maximum negative balance allowed on the account before overdraft fees are incurred or transactions rejected.,False,SDPEDM01
BranchCode,Identifier for the physical bank branch where the account is domiciled.,False,SDPEDM01
LastTransactionDate,The date of the most recent financial activity (debit or credit) on the account.,False,SDPEDM01
StatementFrequency,"The schedule on which account statements are generated and sent to the customer (e.g., Monthly, Quarterly).",False,SDPEDM01
AccountTitle,"The specific designation or nickname given to the account by the customer (e.g., 'Vacation Fund').",True,SDPEDM01
JointAccountIndicator,Boolean flag indicating whether the account is held by more than one individual.,False,SDPEDM01
TaxWithholdingStatus,Indicator of whether the account is subject to backup tax withholding regulations.,False,SDPEDM01
LienAmount,The portion of the account balance that is currently held as collateral or under legal hold.,False,SDPEDM01
ClosureReason,"The recorded reason for the closure of the account, if applicable.",False,SDPEDM01
AverageMonthlyBalance,The calculated average balance of the account over the preceding 30-day period.,False,SDPEDM01
FacilityID,Unique identifier for the credit facility agreement.,False,SDPEDM02
BorrowerName,Legal name of the entity or individual to whom the facility is granted.,True,SDPEDM02
FacilityType,"Classification of the credit facility (e.g., Revolving Credit, Term Loan, Letter of Credit).",False,SDPEDM02
CommittedAmount,The total amount of funds the bank has committed to lend under the facility agreement.,False,SDPEDM02
UncommittedAmount,The portion of the facility that is available but can be withdrawn by the bank at its discretion.,False,SDPEDM02
Currency,The base currency in which the facility limits and usage are denominated.,False,SDPEDM02
EffectiveDate,The date on which the facility agreement becomes active and funds can be drawn.,False,SDPEDM02
ExpiryDate,The final date on which the facility is available for drawing; typically the maturity date.,False,SDPEDM02
ReviewDate,The scheduled date for the periodic credit review of the facility and borrower.,False,SDPEDM02
RiskRating,Internal credit risk grade assigned to the facility based on borrower probability of default.,False,SDPEDM02
UtilizationAmount,The current total outstanding balance drawn against the facility.,False,SDPEDM02
AvailableHeadroom,The remaining amount that can be drawn from the facility (Committed - Utilization).,False,SDPEDM02
SyndicatedFlag,Indicates if the facility is part of a syndicated loan involving multiple lenders.,False,SDPEDM02
LeadArranger,Name of the bank responsible for organizing the syndicated facility.,False,SDPEDM02
CovenantStatus,Current compliance status regarding financial covenants stipulated in the agreement.,False,SDPEDM02
CollateralLinkID,Reference ID to the collateral pool securing this specific facility.,False,SDPEDM02
InterestBaseRate,"The benchmark rate (e.g., SOFR, LIBOR) used as the basis for interest calculation.",False,SDPEDM02
MarginSpread,The additional percentage points added to the base rate to determine the final interest rate.,False,SDPEDM02
FacilityFee,"Annual fee charged for the availability of the credit facility, regardless of utilization.",False,SDPEDM02
GoverningLaw,The legal jurisdiction under whose laws the facility agreement is enforced.,False,SDPEDM02
CrossDefaultClause,Boolean indicating if a default on other obligations triggers a default on this facility.,False,SDPEDM02
LoanID,Unique identifier for the specific loan account.,False,SDPEDM03
BorrowerID,Unique customer identifier for the borrower.,False,SDPEDM03
LoanAmount,The initial principal amount disbursed to the borrower.,False,SDPEDM03
OutstandingPrincipal,The remaining principal amount that has not yet been repaid.,False,SDPEDM03
InterestType,Specifies if the interest rate is Fixed or Floating/Variable.,False,SDPEDM03
CurrentInterestRate,The specific interest rate currently being applied to the outstanding principal.,False,SDPEDM03
TermMonths,The duration of the loan repayment period in months.,False,SDPEDM03
DisbursementDate,The date on which the loan funds were released to the borrower.,False,SDPEDM03
MaturityDate,The final deadline for the full repayment of the loan principal and interest.,False,SDPEDM03
RepaymentFrequency,"The interval at which loan payments are due (e.g., Monthly, Bi-weekly).",False,SDPEDM03
NextPaymentDate,The due date for the upcoming scheduled loan payment.,False,SDPEDM03
ArrearsAmount,The total amount of overdue payments currently outstanding.,False,SDPEDM03
