"txnId","contractId","date","amount","currency","txnType","merchantId","ApplicationID"
"T1","K657","2023-05-23","315448.01","GBP","Payment","M103","APP004"
"T2","K205","2024-05-03","153468.22","JPY","Payment","M29","APP004"
"T3","K162","2023-07-13","258666.58","GBP","Interest","M82","APP003"
"T4","K463","2024-01-07","436879.42","GBP","Drawdown","M45","APP010"
"T5","K704","2024-04-05","413557.54","EUR","Repayment","M22","APP010"
"T6","K425","2023-10-13","91762.74","SGD","Repayment","M6","APP010"
"T7","K971","2023-01-18","461633.06","JPY","Repayment","M23","APP010"
"T8","K998","2023-12-26","99934.84","GBP","Payment","M103","APP004"
"T9","K633","2023-11-30","300595.97","GBP","Payment","M95","APP004"
"T10","K175","2024-03-16","59557.91","JPY","Interest","M198","APP003"
"T11","K943","2024-12-22","227400.22","SGD","Payment","M58","APP004"
"T12","K731","2023-06-07","96081.54","EUR","Drawdown","M192","APP010"
"T13","K507","2023-10-24","65969.47","GBP","Repayment","M73","APP010"
"T14","K745","2024-06-09","95492.22","GBP","Interest","M38","APP003"
"T15","K30","2023-08-14","488087.95","GBP","Interest","M64","APP003"
"T16","K379","2024-03-28","342449.28","SGD","Payment","M3","APP004"
"T17","K481","2023-04-14","435850.29","SGD","Repayment","M183","APP010"
"T18","K393","2024-07-04","212222.18","JPY","Drawdown","M19","APP010"
"T19","K98","2024-03-08","30317.4","EUR","Repayment","M121","APP010"
"T20","K931","2023-10-03","498372.98","JPY","Payment","M2","APP004"
"T21","K260","2024-01-27","310209.28","EUR","Interest","M172","APP003"
"T22","K380","2023-04-13","484060.85","JPY","Payment","M149","APP004"
"T23","K184","2023-07-22","85763.38","SGD","Drawdown","M120","APP010"
"T24","K136","2023-03-11","159341.38","JPY","Interest","M37","APP003"
"T25","K267","2023-04-01","157321.53","GBP","Interest","M72","APP003"
"T26","K766","2023-10-08","463192.28","EUR","Drawdown","M157","APP010"
"T27","K850","2024-08-14","463431.72","JPY","Drawdown","M112","APP010"
"T28","K915","2023-05-09","158455.92","SGD","Repayment","M143","APP010"
"T29","K874","2024-12-17","329052.32","SGD","Payment","M49","APP004"
"T30","K153","2023-02-12","115700.41","USD","Interest","M67","APP003"
"T31","K168","2024-07-02","234099.29","USD","Interest","M11","APP003"
"T32","K453","2023-10-04","494420.47","JPY","Interest","M118","APP003"
"T33","K505","2023-03-29","423073.34","GBP","Payment","M90","APP004"
"T34","K96","2023-06-08","434218.38","GBP","Repayment","M192","APP010"
"T35","K521","2024-09-30","137122.99","JPY","Repayment","M150","APP010"
"T36","K995","2023-01-04","263481.69","JPY","Repayment","M107","APP010"
"T37","K943","2023-03-01","123832.56","SGD","Payment","M85","APP004"
"T38","K27","2023-08-09","340974.86","USD","Interest","M96","APP003"
"T39","K605","2024-12-22","475658.71","EUR","Repayment","M8","APP010"
"T40","K84","2023-12-24","415518.91","SGD","Interest","M161","APP003"
"T41","K979","2023-07-29","297507.93","USD","Drawdown","M12","APP010"
"T42","K672","2024-04-28","475497.09","EUR","Repayment","M55","APP010"
"T43","K884","2023-02-07","400977.42","EUR","Drawdown","M15","APP010"
"T44","K762","2023-02-24","274030.95","JPY","Interest","M24","APP003"
"T45","K409","2023-07-18","89827.39","SGD","Payment","M6","APP004"
"T46","K873","2023-06-11","82307.4","SGD","Drawdown","M166","APP010"
"T47","K771","2024-05-23","77913.2","EUR","Interest","M111","APP003"
"T48","K754","2024-09-18","460928.2","JPY","Repayment","M92","APP010"
"T49","K682","2023-03-16","416194.38","JPY","Repayment","M126","APP010"
"T50","K457","2024-11-18","194656.67","EUR","Interest","M24","APP003"
"T51","K775","2023-11-25","405686.19","JPY","Repayment","M112","APP010"
"T52","K646","2023-11-27","47380.78","JPY","Drawdown","M119","APP010"
"T53","K693","2023-06-24","324157.7","GBP","Interest","M135","APP003"
"T54","K645","2024-05-17","262814.21","EUR","Interest","M112","APP003"
"T55","K82","2024-12-05","400970.8","EUR","Repayment","M33","APP010"
"T56","K701","2024-12-02","150903.92","GBP","Interest","M76","APP003"
"T57","K583","2023-02-07","275946.17","USD","Payment","M131","APP004"
"T58","K436","2023-11-17","48147.7","JPY","Drawdown","M91","APP010"
"T59","K261","2024-03-30","41803.01","JPY","Payment","M30","APP004"
"T60","K759","2024-05-28","231976.59","GBP","Interest","M12","APP003"
"T61","K86","2023-11-20","438500.92","EUR","Drawdown","M151","APP010"
"T62","K742","2023-12-20","378919.78","SGD","Drawdown","M88","APP010"
"T63","K990","2024-12-14","435801.06","GBP","Repayment","M48","APP010"
"T64","K81","2024-08-03","491110.91","EUR","Payment","M112","APP004"
"T65","K548","2023-01-14","3917.69","USD","Payment","M44","APP004"
"T66","K672","2024-01-06","230621.35","SGD","Interest","M78","APP003"
"T67","K634","2024-09-23","486987.02","EUR","Interest","M78","APP003"
"T68","K90","2023-04-08","68421.86","GBP","Payment","M5","APP004"
"T69","K713","2023-05-27","429647.0","GBP","Interest","M167","APP003"
"T70","K149","2024-05-19","121648.33","JPY","Repayment","M23","APP010"
"T71","K309","2024-08-20","232249.35","SGD","Interest","M6","APP003"
"T72","K120","2023-05-10","451305.25","SGD","Interest","M121","APP003"
"T73","K21","2024-10-29","225308.62","GBP","Repayment","M76","APP010"
"T74","K584","2024-10-06","417085.43","USD","Drawdown","M3","APP010"
"T75","K106","2024-05-04","423967.14","SGD","Interest","M127","APP003"
"T76","K755","2024-03-25","298323.94","JPY","Drawdown","M10","APP010"
"T77","K500","2023-11-07","243564.38","JPY","Interest","M60","APP003"
"T78","K732","2023-02-17","264626.1","SGD","Drawdown","M142","APP010"
"T79","K66","2023-07-28","446545.72","SGD","Interest","M30","APP003"
"T80","K507","2024-04-28","469543.27","EUR","Interest","M179","APP003"
"T81","K447","2023-01-17","81505.38","GBP","Interest","M89","APP003"
"T82","K449","2023-06-30","254310.34","JPY","Drawdown","M155","APP010"
"T83","K874","2024-10-16","357884.38","SGD","Repayment","M76","APP010"
"T84","K741","2024-07-06","195795.25","SGD","Drawdown","M121","APP010"
"T85","K819","2024-10-17","81850.85","GBP","Drawdown","M177","APP010"
"T86","K768","2023-03-08","333861.17","GBP","Repayment","M52","APP010"
"T87","K161","2024-04-15","246600.68","SGD","Interest","M78","APP003"
"T88","K241","2023-06-12","278858.42","USD","Drawdown","M67","APP010"
"T89","K366","2024-06-09","80144.13","JPY","Payment","M17","APP004"
"T90","K346","2023-12-01","57870.68","GBP","Payment","M144","APP004"
"T91","K230","2024-01-13","129653.25","EUR","Drawdown","M197","APP010"
"T92","K48","2024-08-21","438979.11","EUR","Repayment","M177","APP010"
"T93","K895","2024-02-05","302540.45","USD","Payment","M113","APP004"
"T94","K819","2023-12-22","481360.91","USD","Payment","M157","APP004"
"T95","K625","2024-08-30","429335.32","USD","Payment","M130","APP004"
"T96","K108","2023-05-10","315333.13","GBP","Drawdown","M41","APP010"
"T97","K746","2023-08-15","354373.52","JPY","Interest","M188","APP003"
"T98","K892","2023-03-19","77993.57","EUR","Drawdown","M36","APP010"
"T99","K126","2024-10-21","101743.27","SGD","Payment","M63","APP004"
"T100","K855","2024-09-20","237358.0","EUR","Repayment","M22","APP010"
"T101","K273","2023-10-17","357884.67","SGD","Drawdown","M162","APP010"
"T102","K681","2023-07-10","76654.0","JPY","Interest","M59","APP003"
"T103","K142","2024-09-14","214982.6","SGD","Interest","M133","APP003"
"T104","K814","2024-06-13","181525.41","USD","Interest","M38","APP003"
"T105","K789","2023-01-08","359095.24","JPY","Payment","M22","APP004"
"T106","K347","2023-09-02","201423.78","GBP","Interest","M16","APP003"
"T107","K403","2024-08-12","19509.77","GBP","Payment","M162","APP004"
"T108","K731","2024-09-12","330520.45","JPY","Drawdown","M108","APP010"
"T109","K412","2024-11-19","340754.46","JPY","Drawdown","M185","APP010"
"T110","K761","2023-09-01","454706.2","USD","Drawdown","M136","APP010"
"T111","K626","2024-12-15","74284.04","SGD","Interest","M165","APP003"
"T112","K211","2024-11-20","272668.22","JPY","Interest","M179","APP003"
"T113","K354","2024-11-20","406103.71","SGD","Repayment","M78","APP010"
"T114","K87","2023-01-29","269179.31","SGD","Repayment","M134","APP010"
"T115","K554","2023-08-09","107653.52","JPY","Drawdown","M134","APP010"
"T116","K349","2024-08-11","318207.07","USD","Payment","M139","APP004"
"T117","K607","2023-07-20","121428.55","EUR","Interest","M130","APP003"
"T118","K114","2024-07-22","30912.92","EUR","Drawdown","M161","APP010"
"T119","K520","2023-10-03","62782.7","USD","Interest","M77","APP003"
"T120","K587","2024-07-26","3601.49","EUR","Repayment","M191","APP010"
"T121","K596","2024-03-15","357608.91","JPY","Repayment","M90","APP010"
"T122","K307","2023-08-10","333794.26","JPY","Repayment","M183","APP010"
"T123","K387","2024-02-08","369018.65","USD","Drawdown","M133","APP010"
"T124","K597","2023-05-30","411598.52","EUR","Interest","M26","APP003"
"T125","K151","2024-07-06","213420.37","SGD","Payment","M24","APP004"
"T126","K64","2023-11-27","444366.14","SGD","Repayment","M115","APP010"
"T127","K80","2023-10-14","338734.4","SGD","Interest","M68","APP003"
"T128","K599","2024-01-23","318594.11","SGD","Interest","M188","APP003"
"T129","K997","2023-11-20","412082.1","GBP","Repayment","M125","APP010"
"T130","K729","2023-12-22","65563.21","JPY","Payment","M178","APP004"
"T131","K218","2023-12-20","237204.43","GBP","Drawdown","M31","APP010"
"T132","K617","2024-10-24","204901.31","USD","Drawdown","M147","APP010"
"T133","K297","2023-02-01","261865.97","USD","Drawdown","M79","APP010"
"T134","K384","2023-08-24","147696.67","USD","Repayment","M37","APP010"
"T135","K803","2024-04-02","211456.73","EUR","Drawdown","M56","APP010"
"T136","K188","2024-09-28","370090.5","USD","Payment","M141","APP004"
"T137","K358","2023-02-22","435342.84","SGD","Interest","M147","APP003"
"T138","K318","2024-03-15","226734.84","EUR","Interest","M122","APP003"
"T139","K855","2024-07-13","417008.05","GBP","Repayment","M130","APP010"
"T140","K652","2023-12-25","381077.71","SGD","Repayment","M187","APP010"
"T141","K334","2023-03-11","400106.0","JPY","Interest","M100","APP003"
"T142","K239","2024-11-30","198303.17","JPY","Payment","M172","APP004"
"T143","K912","2023-12-11","368220.48","USD","Repayment","M182","APP010"
"T144","K26","2024-03-20","315424.5","EUR","Payment","M165","APP004"
"T145","K573","2023-03-08","97020.94","JPY","Payment","M146","APP004"
"T146","K535","2023-05-28","375528.73","JPY","Payment","M31","APP004"
"T147","K675","2024-12-28","266397.86","USD","Drawdown","M53","APP010"
"T148","K252","2024-10-06","353103.23","JPY","Interest","M22","APP003"
"T149","K827","2024-02-19","303820.56","SGD","Payment","M126","APP004"
"T150","K883","2024-12-26","12608.36","SGD","Repayment","M107","APP010"
"T151","K25","2024-10-29","264422.98","SGD","Drawdown","M24","APP010"
"T152","K118","2023-03-19","271347.86","EUR","Repayment","M47","APP010"
"T153","K262","2024-08-19","45724.65","EUR","Interest","M174","APP003"
"T154","K174","2023-02-15","307623.24","EUR","Repayment","M7","APP010"
"T155","K731","2023-02-15","149714.14","USD","Drawdown","M37","APP010"
"T156","K423","2024-11-24","162784.68","SGD","Payment","M14","APP004"
"T157","K208","2023-07-06","376314.74","JPY","Repayment","M127","APP010"
"T158","K521","2024-08-07","252706.2","USD","Drawdown","M16","APP010"
"T159","K326","2023-12-28","277007.42","USD","Interest","M8","APP003"
"T160","K418","2024-05-07","117636.49","USD","Drawdown","M142","APP010"
"T161","K987","2024-03-31","337873.62","GBP","Repayment","M78","APP010"
