eventId,headline,source,date,type,clientId,dbEntityId,industry,country
E1,News Event 1 affecting industry Tech,FactSet,2023-03-04,Default,C40,DB1,Industrial,SG
E2,News Event 2 affecting industry Tech,Bloomberg,2024-09-25,Sanction,C8,,Energy,US
E3,News Event 3 affecting industry Tech,Reuters,2024-05-02,Tariff,C2,DB5,Industrial,SG
E4,News Event 4 affecting industry Industrial,Bloomberg,2023-11-26,Sanction,C44,DB3,,
E5,News Event 5 affecting industry Tech,Bloomberg,2023-05-15,Merger,C50,,Tech,CN
E6,News Event 6 affecting industry Industrial,Bloomberg,2024-02-27,Tariff,C17,,,
E7,News Event 7 affecting industry Tech,Bloomberg,2024-07-29,Tariff,C26,DB4,Energy,UK
E8,News Event 8 affecting industry Tech,Bloomberg,2023-12-08,Default,C3,DB5,,US
E9,News Event 9 affecting industry Industrial,FactSet,2024-11-16,Merger,C4,,Energy,US
E10,News Event 10 affecting industry Tech,Bloomberg,2023-01-23,Default,C22,DB1,Energy,
E11,News Event 11 affecting industry Energy,Reuters,2023-08-30,Sanction,C12,DB5,,US
E12,News Event 12 affecting industry Industrial,Reuters,2023-12-30,Default,C42,DB2,,DE
E13,News Event 13 affecting industry Energy,FactSet,2023-02-17,Merger,C3,DB2,,
E14,News Event 14 affecting industry Energy,FactSet,2024-09-16,Merger,C20,DB2,Industrial,
E15,News Event 15 affecting industry Energy,Reuters,2024-11-15,Default,C38,DB2,Tech,US
E16,News Event 16 affecting industry Industrial,Reuters,2023-03-13,Sanction,C22,,Banking,UK
E17,News Event 17 affecting industry Industrial,Reuters,2023-08-20,Merger,C25,,,
E18,News Event 18 affecting industry Energy,Reuters,2024-09-11,Default,C27,DB3,Energy,
E19,News Event 19 affecting industry Energy,Bloomberg,2024-09-12,Merger,C35,,Banking,
E20,News Event 20 affecting industry Tech,Bloomberg,2023-10-31,Tariff,,DB3,Tech,US
E21,News Event 21 affecting industry Industrial,Bloomberg,2024-10-25,Tariff,C26,,Industrial,CN
E22,News Event 22 affecting industry Tech,Bloomberg,2024-06-30,Merger,C46,DB5,,CN
E23,News Event 23 affecting industry Tech,Bloomberg,2024-11-13,Tariff,C23,,Banking,DE
E24,News Event 24 affecting industry Industrial,Reuters,2024-12-24,Merger,C6,DB3,Banking,US
E25,News Event 25 affecting industry Industrial,Bloomberg,2023-11-25,Sanction,C2,DB3,,SG
E26,News Event 26 affecting industry Energy,Bloomberg,2024-12-18,Merger,C13,DB4,Industrial,
E27,News Event 27 affecting industry Tech,FactSet,2023-11-24,Merger,C36,,Retail,UK
E28,News Event 28 affecting industry Tech,Bloomberg,2024-12-02,Default,C39,,Energy,UK
E29,News Event 29 affecting industry Energy,FactSet,2024-09-08,Tariff,C23,,Banking,US
E30,News Event 30 affecting industry Industrial,Reuters,2023-10-31,Default,C14,,Energy,US
E31,News Event 31 affecting industry Industrial,Reuters,2024-06-28,Sanction,C31,DB3,Industrial,DE
E32,News Event 32 affecting industry Industrial,Bloomberg,2023-08-20,Sanction,C44,DB5,Tech,
E33,News Event 33 affecting industry Tech,FactSet,2023-03-22,Merger,C41,DB3,,SG
E34,News Event 34 affecting industry Industrial,Bloomberg,2024-04-06,Default,C12,DB5,Energy,SG
E35,News Event 35 affecting industry Tech,Reuters,2024-12-16,Merger,C9,DB3,Retail,CN
E36,News Event 36 affecting industry Energy,FactSet,2023-03-21,Sanction,C30,,Industrial,US
E37,News Event 37 affecting industry Industrial,Reuters,2024-08-11,Tariff,C50,,Banking,US
E38,News Event 38 affecting industry Industrial,Reuters,2024-03-03,Sanction,C46,DB4,Tech,US
E39,News Event 39 affecting industry Industrial,FactSet,2023-09-12,Tariff,C50,,,US
E40,News Event 40 affecting industry Energy,Bloomberg,2023-11-24,Tariff,C34,DB5,Banking,US
E41,News Event 41 affecting industry Tech,Bloomberg,2023-04-19,Sanction,C15,,Tech,
E42,News Event 42 affecting industry Industrial,FactSet,2024-08-16,Default,C37,,,UK
E43,News Event 43 affecting industry Industrial,FactSet,2023-06-10,Sanction,C12,,,UK
E44,News Event 44 affecting industry Industrial,FactSet,2024-12-02,Default,C48,DB3,,SG
E45,News Event 45 affecting industry Tech,FactSet,2023-12-25,Default,C39,DB3,,
E46,News Event 46 affecting industry Tech,Reuters,2023-09-24,Merger,C1,DB3,Banking,SG
E47,News Event 47 affecting industry Energy,FactSet,2024-10-12,Sanction,C11,DB1,Industrial,SG
E48,News Event 48 affecting industry Tech,Reuters,2023-03-18,Sanction,C22,,Banking,UK
E49,News Event 49 affecting industry Industrial,Bloomberg,2024-09-08,Merger,,DB3,Industrial,CN
E50,News Event 50 affecting industry Tech,Reuters,2024-12-15,Tariff,C14,DB2,Banking,
E51,News Event 51 affecting industry Tech,Bloomberg,2024-10-15,Sanction,C12,DB1,,
E52,News Event 52 affecting industry Tech,FactSet,2024-05-16,Sanction,C20,,Banking,CN
E53,News Event 53 affecting industry Energy,Bloomberg,2024-12-05,Tariff,C18,DB3,,
E54,News Event 54 affecting industry Tech,FactSet,2023-09-09,Sanction,C34,DB4,Tech,CN
E55,News Event 55 affecting industry Tech,Reuters,2024-10-06,Default,C35,DB2,Banking,US
E56,News Event 56 affecting industry Industrial,Bloomberg,2023-08-28,Tariff,C35,DB5,,CN
E57,News Event 57 affecting industry Industrial,FactSet,2024-02-27,Merger,C2,,,UK
E58,News Event 58 affecting industry Tech,FactSet,2023-03-29,Tariff,C32,DB5,Industrial,SG
E59,News Event 59 affecting industry Industrial,Reuters,2023-08-18,Sanction,C50,DB1,,UK
E60,News Event 60 affecting industry Industrial,Reuters,2023-05-19,Default,C27,DB3,Retail,SG
E61,News Event 61 affecting industry Industrial,FactSet,2024-06-17,Tariff,C39,DB2,Tech,UK
E62,News Event 62 affecting industry Energy,Reuters,2024-02-26,Sanction,C47,DB4,Energy,US
E63,News Event 63 affecting industry Tech,Reuters,2023-08-12,Sanction,C46,,Industrial,CN
E64,News Event 64 affecting industry Tech,Reuters,2023-04-27,Default,C28,DB1,Banking,SG
E65,News Event 65 affecting industry Industrial,Reuters,2024-02-09,Default,C23,DB4,Banking,UK
E66,News Event 66 affecting industry Tech,Reuters,2023-10-26,Sanction,C30,DB1,Retail,CN
E67,News Event 67 affecting industry Energy,Bloomberg,2023-06-12,Tariff,C31,DB2,Banking,CN
E68,News Event 68 affecting industry Tech,FactSet,2023-05-06,Tariff,,DB2,,CN
E69,News Event 69 affecting industry Industrial,Bloomberg,2024-07-07,Tariff,C26,,Retail,CN
E70,News Event 70 affecting industry Industrial,FactSet,2023-03-16,Sanction,C21,DB5,Retail,
E71,News Event 71 affecting industry Tech,Bloomberg,2024-10-01,Merger,C20,DB1,Tech,SG
E72,News Event 72 affecting industry Industrial,Reuters,2023-07-24,Tariff,C14,DB3,Retail,UK
E73,News Event 73 affecting industry Tech,Reuters,2023-03-20,Sanction,C37,DB2,Tech,CN
E74,News Event 74 affecting industry Tech,Bloomberg,2024-02-29,Sanction,C23,DB5,Energy,
E75,News Event 75 affecting industry Energy,FactSet,2023-08-14,Tariff,C39,DB2,Banking,SG
E76,News Event 76 affecting industry Energy,FactSet,2023-12-31,Tariff,C11,DB4,Tech,
E77,News Event 77 affecting industry Energy,Reuters,2023-07-26,Merger,C36,DB4,Retail,SG
E78,News Event 78 affecting industry Energy,Reuters,2024-11-16,Default,C37,,Tech,SG
E79,News Event 79 affecting industry Industrial,Bloomberg,2023-10-29,Default,C7,DB3,,
E80,News Event 80 affecting industry Tech,Reuters,2023-06-06,Default,C17,,Tech,UK
E81,News Event 81 affecting industry Industrial,FactSet,2023-03-21,Default,C28,DB4,Retail,SG
E82,News Event 82 affecting industry Tech,Bloomberg,2023-04-16,Tariff,C16,DB1,Energy,
E83,News Event 83 affecting industry Tech,Reuters,2023-10-12,Default,C49,,Industrial,US
E84,News Event 84 affecting industry Energy,Reuters,2023-04-05,Default,C5,DB2,Energy,UK
E85,News Event 85 affecting industry Industrial,Reuters,2023-09-25,Sanction,C11,DB2,Banking,
E86,News Event 86 affecting industry Tech,FactSet,2023-02-06,Sanction,C42,,Retail,DE
E87,News Event 87 affecting industry Tech,Reuters,2023-05-19,Sanction,C50,DB5,Energy,DE
E88,News Event 88 affecting industry Tech,Reuters,2023-03-13,Default,C19,DB3,,DE
E89,News Event 89 affecting industry Industrial,Reuters,2023-06-27,Sanction,C22,DB3,,
E90,News Event 90 affecting industry Energy,Bloomberg,2023-05-30,Merger,C44,DB3,Energy,CN
E91,News Event 91 affecting industry Tech,Bloomberg,2024-04-28,Default,C16,DB3,Industrial,DE
E92,News Event 92 affecting industry Energy,Bloomberg,2023-05-05,Tariff,C17,,Tech,UK
E93,News Event 93 affecting industry Tech,FactSet,2023-09-04,Sanction,C30,,Energy,
E94,News Event 94 affecting industry Energy,FactSet,2023-12-10,Tariff,C17,DB2,,
E95,News Event 95 affecting industry Energy,Bloomberg,2024-03-25,Sanction,C38,DB3,,
E96,News Event 96 affecting industry Energy,FactSet,2023-11-24,Default,C46,,Energy,
E97,News Event 97 affecting industry Industrial,Bloomberg,2023-07-19,Sanction,C44,DB5,Industrial,DE
E98,News Event 98 affecting industry Tech,Bloomberg,2024-07-08,Tariff,C5,,,
E99,News Event 99 affecting industry Energy,FactSet,2024-01-23,Sanction,C5,DB1,Energy,CN
E100,News Event 100 affecting industry Tech,FactSet,2023-03-02,Tariff,C26,,,SG
